bedrooms,bathrooms,sqft,lot_size,age,location,property_type,garage,price
2,1,1200,2174,20,Downtown,Single Family,Carport,1480000
2,1,850,1679,120,Downtown,Single Family,None,1035000
3,2,1615,1442,120,Downtown,Single Family,None,1465000
3,2,1550,1012,20,Downtown,Single Family,Carport,850000
3,1,1528,1292,11,Downtown,Single Family,Attached,1600000
2,1,1200,1948,20,Downtown,Single Family,None,941000
4,2,2260,2637,115,Downtown,Single Family,None,1876000
2,1,1152,2756,120,Downtown,Single Family,Attached,1636000
1,1,850,1000,20,Downtown,Condo,Carport,300000
3,1,807,2368,120,Downtown,Single Family,Attached,1097000
2,2,1200,1000,20,Downtown,Condo,Carport,700000
3,2,2045,2303,20,Downtown,Single Family,Attached,1350000
2,2,1012,1000,16,Downtown,Condo,Carport,750000
2,1,1200,2099,20,Downtown,Single Family,Carport,1172500
1,1,850,1000,20,Downtown,Condo,Carport,441000
2,1,1044,2562,120,Downtown,Single Family,Attached,1310000
3,2,1184,1216,120,Downtown,Single Family,Carport,1200000
2,1,1130,1485,120,Downtown,Single Family,Carport,1176500
3,1,1550,1970,20,Downtown,Single Family,None,955000
2,1,786,1615,40,Downtown,Single Family,Carport,890000
4,2,1453,8396,120,Downtown,Single Family,Attached,1330000
3,2,1550,1000,15,Downtown,Townhouse,Attached,900000
3,2,500,46177,20,Downtown,Condo,Attached,1090000
2,1,646,1000,55,Downtown,Condo,Carport,500000
2,2,1453,1335,12,Downtown,Single Family,Carport,1100000
2,1,915,1582,120,Downtown,Single Family,None,1315000
1,1,850,1000,20,Downtown,Condo,Carport,426000
3,3,1873,1787,13,Downtown,Single Family,Carport,1447500
1,1,538,1000,20,Downtown,Condo,Carport,457000
2,2,1378,1055,105,Downtown,Single Family,Attached,1135000
4,3,1900,1000,20,Downtown,Single Family,Carport,1542000
3,2,500,1582,20,Downtown,Single Family,Attached,1290000
3,1,1335,1808,75,Downtown,Single Family,Carport,1290000
1,1,538,1000,12,Downtown,Condo,Carport,470000
2,1,980,1744,120,Downtown,Single Family,None,1180000
3,2,1378,1292,27,Downtown,Single Family,Carport,1195000
2,1,883,1959,120,Downtown,Single Family,None,1012500
2,1,872,1851,95,Downtown,Single Family,Carport,1030000
3,2,2422,3261,9,New Development,Townhouse,Carport,840000
3,2,1561,1000,60,Suburbs,Single Family,Carport,730000
3,2,1561,1000,60,Suburbs,Single Family,Carport,770000
2,1,904,2928,75,Historic,Single Family,Carport,603000
3,2,1442,2573,16,Suburbs,Townhouse,Attached,700000
2,1,1249,3122,45,Suburbs,Single Family,Carport,600000
2,1,926,1808,14,Suburbs,Condo,Carport,500000
2,1,1200,6674,20,Suburbs,Single Family,Carport,720000
3,1,1367,6426,20,Suburbs,Single Family,Attached,785000
6,3,2002,10506,45,Suburbs,Single Family,Attached,725000
2,1,969,1184,10,New Development,Townhouse,Carport,450000
2,1,786,1518,12,Suburbs,Condo,Carport,515000
2,1,1012,1292,13,Suburbs,Condo,Carport,530000
3,1,1432,11442,50,Suburbs,Single Family,Attached,895000
3,1,1130,1000,75,Historic,Single Family,Carport,805000
3,1,1399,2852,32,Suburbs,Condo,Carport,752000
2,1,1200,2067,20,Suburbs,Condo,Carport,440000
3,2,1550,6415,20,Suburbs,Single Family,Attached,755000
3,2,1432,1776,16,Suburbs,Townhouse,Attached,700000
3,1,1216,10452,65,Suburbs,Single Family,Attached,830000
2,1,1200,1765,22,Suburbs,Condo,Carport,462500
3,2,1550,7072,20,Suburbs,Single Family,Attached,670000
2,1,1076,6588,50,Suburbs,Single Family,Carport,675000
3,2,1873,6588,75,Historic,Single Family,Attached,1042000
3,1,1550,8342,20,Suburbs,Single Family,Carport,910000
5,3,3326,5716,45,Suburbs,Single Family,Attached,773000
3,3,2067,5974,45,Suburbs,Single Family,Attached,810000
3,2,1356,4542,30,Suburbs,Single Family,Attached,715000
3,1,1550,6609,20,Suburbs,Single Family,Attached,790000
2,2,1087,1733,15,Suburbs,Townhouse,Carport,540000
3,2,1098,3154,65,Suburbs,Townhouse,Carport,825000
3,1,1216,6232,50,Suburbs,Single Family,Carport,685000
